"cumulative_deaths","date_death_report","deaths","province"
196,"01-08-2020",0,"Alberta"
196,"02-08-2020",0,"Alberta"
196,"03-08-2020",0,"Alberta"
201,"04-08-2020",5,"Alberta"
203,"05-08-2020",2,"Alberta"
205,"06-08-2020",2,"Alberta"
208,"07-08-2020",3,"Alberta"
208,"08-08-2020",0,"Alberta"
208,"09-08-2020",0,"Alberta"
213,"10-08-2020",5,"Alberta"
216,"11-08-2020",3,"Alberta"
217,"12-08-2020",1,"Alberta"
220,"13-08-2020",3,"Alberta"
221,"14-08-2020",1,"Alberta"
221,"15-08-2020",0,"Alberta"
221,"16-08-2020",0,"Alberta"
224,"17-08-2020",3,"Alberta"
225,"18-08-2020",1,"Alberta"
227,"19-08-2020",2,"Alberta"
228,"20-08-2020",1,"Alberta"
230,"21-08-2020",2,"Alberta"
230,"22-08-2020",0,"Alberta"
230,"23-08-2020",0,"Alberta"
234,"24-08-2020",4,"Alberta"
235,"25-08-2020",1,"Alberta"
235,"26-08-2020",0,"Alberta"
237,"27-08-2020",2,"Alberta"
237,"28-08-2020",0,"Alberta"
237,"29-08-2020",0,"Alberta"
237,"30-08-2020",0,"Alberta"
239,"31-08-2020",2,"Alberta"
241,"01-09-2020",2,"Alberta"
242,"02-09-2020",1,"Alberta"
242,"03-09-2020",0,"Alberta"
242,"04-09-2020",0,"Alberta"
242,"05-09-2020",0,"Alberta"
242,"06-09-2020",0,"Alberta"
242,"07-09-2020",0,"Alberta"
247,"08-09-2020",5,"Alberta"
248,"09-09-2020",1,"Alberta"
253,"10-09-2020",5,"Alberta"
253,"11-09-2020",0,"Alberta"
253,"12-09-2020",0,"Alberta"
253,"13-09-2020",0,"Alberta"
254,"14-09-2020",1,"Alberta"
254,"15-09-2020",0,"Alberta"
254,"16-09-2020",0,"Alberta"
254,"17-09-2020",0,"Alberta"
255,"18-09-2020",1,"Alberta"
255,"19-09-2020",0,"Alberta"
255,"20-09-2020",0,"Alberta"
256,"21-09-2020",1,"Alberta"
258,"22-09-2020",2,"Alberta"
260,"23-09-2020",2,"Alberta"
261,"24-09-2020",1,"Alberta"
261,"25-09-2020",0,"Alberta"
261,"26-09-2020",0,"Alberta"
261,"27-09-2020",0,"Alberta"
265,"28-09-2020",4,"Alberta"
266,"29-09-2020",1,"Alberta"
267,"30-09-2020",1,"Alberta"
269,"01-10-2020",2,"Alberta"
272,"02-10-2020",3,"Alberta"
272,"03-10-2020",0,"Alberta"
272,"04-10-2020",0,"Alberta"
280,"05-10-2020",8,"Alberta"
281,"06-10-2020",1,"Alberta"
281,"07-10-2020",0,"Alberta"
282,"08-10-2020",1,"Alberta"
282,"09-10-2020",0,"Alberta"
282,"10-10-2020",0,"Alberta"
282,"11-10-2020",0,"Alberta"
282,"12-10-2020",0,"Alberta"
286,"13-10-2020",4,"Alberta"
287,"14-10-2020",1,"Alberta"
288,"15-10-2020",1,"Alberta"
288,"16-10-2020",0,"Alberta"
288,"17-10-2020",0,"Alberta"
288,"18-10-2020",0,"Alberta"
292,"19-10-2020",4,"Alberta"
293,"20-10-2020",1,"Alberta"
296,"21-10-2020",3,"Alberta"
296,"22-10-2020",0,"Alberta"
300,"23-10-2020",4,"Alberta"
300,"24-10-2020",0,"Alberta"
300,"25-10-2020",0,"Alberta"
307,"26-10-2020",7,"Alberta"
309,"27-10-2020",2,"Alberta"
313,"28-10-2020",4,"Alberta"
318,"29-10-2020",5,"Alberta"
323,"30-10-2020",5,"Alberta"
323,"31-10-2020",0,"Alberta"
323,"01-11-2020",0,"Alberta"
323,"02-11-2020",0,"Alberta"
338,"03-11-2020",15,"Alberta"
343,"04-11-2020",5,"Alberta"
343,"05-11-2020",0,"Alberta"
352,"06-11-2020",9,"Alberta"
357,"07-11-2020",5,"Alberta"
363,"08-11-2020",6,"Alberta"
370,"09-11-2020",7,"Alberta"
376,"10-11-2020",6,"Alberta"
